DV_DEVICE_NUMBER,Device Type,Borough,ZIP_CODE,LATITUDE (decimal degrees),LONGITUDE (decimal degrees)
5D1,Dumbwaiter (D),Staten Island,10301,40.58972171,-74.1006591
5D116,Dumbwaiter (D),Staten Island,10304,40.60023737,-74.08678564
5D296,Dumbwaiter (D),Staten Island,10302,40.63756297,-74.13113046
5D5001,Dumbwaiter (D),Staten Island,10301,40.63573123,-74.08915933
5D5002,Dumbwaiter (D),Staten Island,10304,40.59556826,-74.09061444
5D5016,Dumbwaiter (D),Staten Island,10304,40.59244732,-74.10963241
5D5017,Dumbwaiter (D),Staten Island,10305,40.58451612,-74.08549793
5D5019,Dumbwaiter (D),Staten Island,10301,40.61337354,-74.1007704
5D5020,Dumbwaiter (D),Staten Island,10304,40.58834024,-74.10465709
5D5022,Dumbwaiter (D),Staten Island,10304,40.58353139,-74.11048182
5D5023,Dumbwaiter (D),Staten Island,10314,40.61382319,-74.15742739
5D5024,Dumbwaiter (D),Staten Island,10307,40.51329434,-74.25149882
5D5025,Dumbwaiter (D),Staten Island,10314,40.60303199,-74.16236803
5D5026,Dumbwaiter (D),Staten Island,10314,40.60303199,-74.16236803
5D5027,Dumbwaiter (D),Staten Island,10309,40.54144677,-74.20824998
5D5028,Dumbwaiter (D),Staten Island,10304,40.62394738,-74.08242161
5D5029,Dumbwaiter (D),Staten Island,10314,40.59410142,-74.13390049
5D5030,Dumbwaiter (D),Staten Island,10314,40.59410142,-74.13390049
5D5031,Dumbwaiter (D),Staten Island,10301,40.61386345,-74.09266349
4D140,Dumbwaiter (D),Queens,11101,40.74747874,-73.9455579
4D141,Dumbwaiter (D),Queens,11101,40.74705808,-73.94406411
4D155,Dumbwaiter (D),Queens,11380,40.74755692,-73.94263813
4D199,Dumbwaiter (D),Queens,11429,40.7174498,-73.73493173
4D200,Dumbwaiter (D),Queens,11372,40.7494786,-73.88455832
4D223,Dumbwaiter (D),Queens,11420,40.66931142,-73.82159148
