route,airspeed_kmh,fuel_burn_lph
Desert,430,178
Desert,450,188
Desert,470,194
Desert,490,208
Desert,510,214
Desert,530,227
Desert,550,233
Desert,570,249
Desert,590,255
Desert,610,271
Mountain,440,182
Mountain,460,190
Mountain,480,201
Mountain,500,210
Mountain,520,222
Mountain,540,236
Mountain,560,239
Mountain,580,253
Mountain,600,266
Mountain,620,272
Coastal,420,170
Coastal,445,186
Coastal,475,197
Coastal,495,205
Coastal,515,220
Coastal,535,224
Coastal,555,242
Coastal,575,246
Coastal,595,262
Coastal,615,268
