Student_ID,Score
S0001,80
S0002,73.6
S0003,81.5
S0004,90.2
S0005,72.7
S0006,72.7
S0007,90.8
S0008,82.7
S0009,70.3
S0010,80.4
S0011,70.4
S0012,70.3
S0013,77.4
S0014,55.9
S0015,57.8
S0016,69.4
S0017,64.9
S0018,78.1
S0019,65.9
S0020,60.9
S0021,89.7
S0022,72.7
S0023,75.7
S0024,60.8
S0025,69.6
S0026,76.1
S0027,63.5
S0028,78.8
S0029,69
S0030,72.1
S0031,69
S0032,93.5
S0033,74.9
S0034,64.4
S0035,83.2
S0036,62.8
S0037,77.1
S0038,55.4
S0039,61.7
S0040,77
S0041,82.4
S0042,76.7
S0043,73.8
S0044,72
S0045,60.2
S0046,67.8
S0047,70.4
S0048,85.6
S0049,78.4
S0050,57.4
S0051,78.2
S0052,71.1
S0053,68.2
S0054,81.1
S0055,85.3
S0056,84.3
S0057,66.6
S0058,71.9
S0059,78.3
S0060,84.8
S0061,70.2
S0062,73.1
S0063,63.9
S0064,63
S0065,83.1
S0066,88.6
S0067,74.3
S0068,85
S0069,78.6
S0070,68.5
S0071,78.6
S0072,90.4
S0073,74.6
S0074,90.6
S0075,48.8
S0076,83.2
S0077,75.9
S0078,72
S0079,75.9
S0080,55.1
S0081,72.8
S0082,78.6
S0083,89.8
S0084,69.8
S0085,66.9
S0086,70
S0087,84.2
S0088,78.3
S0089,69.7
S0090,80.1
S0091,76
S0092,84.7
S0093,68
S0094,71.7
S0095,71.1
S0096,60.4
S0097,78
S0098,77.6
S0099,75.1
S0100,72.7
S0101,60.8
S0102,70.8
S0103,71.6
S0104,67
S0105,73.4
S0106,79
S0107,93.9
S0108,76.7
S0109,77.6
S0110,74.3
S0111,55.8
S0112,74.7
S0113,75.6
S0114,99.6
S0115,73.1
S0116,78
S0117,74.7
S0118,63.3
S0119,86.4
S0120,82.5
S0121,82.9
S0122,65.9
S0123,89
S0124,61
S0125,80.9
S0126,96.9
S0127,65.1
S0128,69.3
S0129,76
S0130,70
S0131,59.5
S0132,75.7
S0133,64.4
S0134,79.7
S0135,65.8
S0136,90.5
S0137,67.2
S0138,71.8
S0139,83.1
S0140,62.7
S0141,77.3
S0142,88.1
S0143,58.9
S0144,76.8
S0145,77.6
S0146,82.8
S0147,62.6
S0148,61.8
S0149,80.2
S0150,78
S0151,77.5
S0152,78.5
S0153,68.2
S0154,77.3
S0155,77.9
S0156,67.9
S0157,93.7
S0158,79.7
S0159,63.1
S0160,81.6
S0161,65.3
S0162,82.9
S0163,86.6
S0164,66.8
S0165,84.6
S0166,79.1
S0167,83.2
S0168,94
S0169,72.5
S0170,67.5
S0171,66.1
S0172,66.8
S0173,74.2
S0174,78.4
S0175,77.8
S0176,83.3
S0177,75.1
S0178,89.5
S0179,72.4
S0180,100
S0181,81.3
S0182,66.4
S0183,64.3
S0184,79.8
S0185,72.8
S0186,82.1
S0187,79.7
S0188,74.3
S0189,66.5
S0190,59.9
S0191,70.5
S0192,83.6
S0193,77.1
S0194,62.5
S0195,76.7
S0196,78.9
S0197,66.2
S0198,76.5
S0199,75.6
S0200,63.6
