canonical_id,assignment_id,name,points,type,class_slot,due_date,source_path,manual_only
EX:M1:pre-class-mats,EX 3.1.1,PCMs: Spreadsheet Foundations,0,Pre-Class Assignment,1A,Class 1B,source/Part_02_Excel/M1/1.1_materials.md,false
EX:M1:PCA1,EX 3.1.2,PCA: Calculations and Charting in Excel,2,Pre-Class Assignment,1A,Class 1B,source/Part_02_Excel/M1/tasks/pre_1/a/instructions.md,false
EX:M2:pre-class-mats,EX 4.1.1,PCMs: Data Analysis and Histograms in Excel,0,Pre-Class Assignment,1B,Class 2A,source/Part_02_Excel/M2/1.1_materials.md,false
EX:M2:PCA1,EX 4.1.2,PCA: Descriptive Statistics and Logical Functions,2,Pre-Class Assignment,1B,Class 2A,source/Part_02_Excel/M2/tasks/pre_1/a/instructions.md,false
EX:M2:PCA2,EX 4.1.3,PCA: Distributions - Histograms and Outliers,2,Pre-Class Assignment,2A,Class 2B,source/Part_02_Excel/M2/tasks/pre_2/a/instructions.md,false
EX:M2:A1,EX 4.3.1,EX: Data Analysis,10,Individual Assignment,2A,Class 3A,source/Part_02_Excel/M2/tasks/1/a/instructions.md,false
PD:M2:pre-class-mats,TM 2.2.1,PCMs: Working in an Engineering Team,0,Pre-Class Assignment,3A,Class 4A,source/Part_01_Professional_Development/M2_Teaming/1_TM1_pcm_teaming.md,false
PD:M2:TM1,TM 2.2.2,PCA: Teaming Fundamentals,5,Pre-Class Assignment,3A,Class 4A,source/Part_01_Professional_Development/M2_Teaming/1_TM1_inst.md,false
,PP 1.1.0,Course Policies Exploration,10,Individual Assignment,1A,Class 1B,,true
,TM 2.1.0,CAT0 - CATME Team Formation Survey,5,Individual Assignment,1A,9/2/26 @ 11:59 PM,,true
,TM 2.1.1,CAT1 - CATME Peer & Team Evaluation #1,10,Individual Assignment,6A,10/4/26 @ 11:59 PM,,true
,TM 2.1.2,CAT2 - CATME Peer & Team Evaluation #2,10,Individual Assignment,10A,11/1/26 @ 11:59 PM,,true
,TM 2.1.3,CAT3 - CATME Peer & Team Evaluation #3,10,Individual Assignment,16A,12/11/26 @ 11:59 PM,,true
,TP1,Design Project Proposal,20,Team Assignment,10B,Class 11A,,true
