class_slot,assignment_id,name,points,type,due_date
1A,0.0,Course Policies Exploration,10,Individual Assignment,Class 1B
1A,XL1.1,Spreadsheet Foundations,2,Pre-Class Activity,Class 1B
1B,XL2.1A,Descriptive Statistics and Logical Functions,2,Pre-Class Activity,Class 2A
2A,XL2.1B,Distributions - Histograms and Outliers,2,Pre-Class Activity,Class 2B
2B,XL3.1,Probability,2,Pre-Class Activity,Class 3A
3A,XL4.1,Linear Regression in Excel,2,Pre-Class Activity,Class 3B
3B,AI.1,AI Placeholders,2,Pre-Class Activity,Class 4A
2A,XL2.2,Data Analysis in Excel,10,Individual Assignment,Class 3A
3A,XL3.2,Probability & Regression,10,Individual Assignment,Class 4A
4A,AI.2,AI Placeholders,10,Individual Assignment,Class 5A
5B,PY1.1,Python Foundations,2,Pre-Class Activity,Class 6A
6A,PY2.1A,Selections Structures,2,Pre-Class Activity,Class 6B
6B,PY2.1B,User-Defined Functions,2,Pre-Class Activity,Class 7A
7A,PY3.1A,While Loops,2,Pre-Class Activity,Class 7B
7B,PY3.1B,For Loops,2,Pre-Class Activity,Class 8B
5B,PY1.2,Python Foundations,10,Individual Assignment,Class 6B
6B,PY2.2,Logic & Modularity,10,Individual Assignment,Class 7B
7B,PY3.2,Looping Structures,10,Individual Assignment,Class 9A
3A,TM1,Teaming Fundamentals,5,Pre-Class Activity,Class 4A
1A,CAT0,CATME Team Formation Survey,5,Individual Assignment,Class 1B
10B,TP1,Design Project Proposal,20,Team Assignment,Class 11A
16A,TM 2.1.3,CAT3 - CATME Peer & Team Evaluation #3,10,Individual Assignment,12/11/26 @ 11:59 PM
,EX 5.1.1,PCMs: Probability & Uncertainty,0,Pre-Class Assignment,
,EX 5.1.2,PCA: Title,0,Pre-Class Assignment,
,EX 5.3.1,EX: Assignment Title,10,Individual Assignment,
,EX 6.1.1,PCMs: Linear Regression in Excel,0,Pre-Class Assignment,
,EX 6.1.2,PCA: Title,0,Pre-Class Assignment,
,EX 6.3.1,EX: Assignment Title,10,Individual Assignment,
,PY 10.1.1,Materials,0,Pre-Class Assignment,
,PY 10.1.2,PCA: While Loops,0,Pre-Class Assignment,
,PY 10.1.3,PCA: For Loops,0,Pre-Class Assignment,
,PY 10.3.1,PY: Looping Structures,10,Individual Assignment,
,PY 11.1.1,Pre-Class Materials,0,Pre-Class Assignment,
,PY 11.1.2,PCA: Data Manipulation,0,Pre-Class Assignment,
,PY 11.1.3,PCA: Plotting & Statistics,0,Pre-Class Assignment,
,PY 11.3.1,PY: Data,10,Individual Assignment,
,PY 12.1.1,Pre-Class Videos,0,Pre-Class Assignment,
,PY 12.1.2,PCA: Linear Regression Analysis,0,Pre-Class Assignment,
,PY 12.1.3,PCA: Title,0,Pre-Class Assignment,
,PY 12.3.1,PY: Regression,10,Individual Assignment,
,PY 8.1.1,PCMs: Python Foundations,0,Pre-Class Assignment,
,PY 8.1.2,PCA: Python Foundations,0,Pre-Class Assignment,
,PY 8.3.1,PY: Python Foundations,10,Individual Assignment,
,PY 9.1.1,PCMs: Logic & Modularity,0,Pre-Class Assignment,
,PY 9.1.2,PCA: Selection Structures,0,Pre-Class Assignment,
,PY 9.1.3,PCA: User-Defined Functions,0,Pre-Class Assignment,
,PY 9.3.1,PY: Logic & Modularity,10,Individual Assignment,
