Date,Vehicle_Count,Avg_Speed_mph,Road_Temp_F
2026-05-04,238,53,56
2026-05-05,145,57,69
2026-05-06,110,73,61
2026-05-07,248,73,89
2026-05-08,97,68,82
2026-05-09,83,50,60
2026-05-10,561,32,87
2026-05-11,758,25,90
2026-05-12,551,47,96
2026-05-13,809,42,81
2026-05-14,362,54,92
2026-05-15,392,65,55
2026-05-16,331,62,82
2026-05-17,424,48,64
2026-05-18,360,64,76
2026-05-19,302,42,79
2026-05-20,499,36,77
2026-05-21,759,33,57
2026-05-22,823,39,89
2026-05-23,106,62,60
2026-05-24,216,59,95
2026-05-25,233,61,91
2026-05-26,124,72,59
2026-05-27,86,71,69
2026-05-28,149,52,69
2026-05-29,100,62,72
2026-05-30,191,70,78
2026-05-31,116,61,77
2026-06-01,128,71,72
2026-06-02,249,70,59
2026-06-03,761,45,65
2026-06-04,723,48,70
2026-06-05,533,39,79
2026-06-06,588,45,99
2026-06-07,535,47,98
2026-06-08,416,64,104
2026-06-09,278,47,57
2026-06-10,411,52,72
2026-06-11,283,46,91
2026-06-12,411,46,96
2026-06-13,705,37,96
2026-06-14,684,29,71
2026-06-15,521,32,102
2026-06-16,218,67,71
2026-06-17,224,63,92
2026-06-18,177,61,69
2026-06-19,110,66,86
2026-06-20,98,74,58
2026-06-21,103,54,95
2026-06-22,115,75,98
2026-06-23,183,69,59
2026-06-24,173,62,93
2026-06-25,194,66,71
2026-06-26,216,50,98
2026-06-27,819,28,98
2026-06-28,724,49,72
2026-06-29,843,45,76
2026-06-30,507,34,82
2026-07-01,330,54,55
2026-07-02,384,56,103
2026-07-03,341,56,61
2026-07-04,402,60,87
2026-07-05,351,44,78
2026-07-06,332,57,104
2026-07-07,721,25,93
2026-07-08,615,40,56
2026-07-09,507,36,74
2026-07-10,136,51,70
2026-07-11,220,52,60
2026-07-12,199,52,103
2026-07-13,211,74,63
2026-07-14,107,71,85
2026-07-15,215,55,71
2026-07-16,210,69,82
2026-07-17,129,67,103
2026-07-18,126,72,74
2026-07-19,177,71,96
2026-07-20,170,64,88
2026-07-21,681,28,70
2026-07-22,565,27,76
2026-07-23,460,43,90
2026-07-24,567,43,69
2026-07-25,253,42,100
2026-07-26,280,47,59
2026-07-27,266,50,59
2026-07-28,513,47,72
2026-07-29,498,46,89
2026-07-30,317,63,91
2026-07-31,745,40,70
2026-08-01,692,50,81
2026-08-02,547,28,61
2026-08-03,243,63,77
2026-08-04,183,63,84
2026-08-05,88,71,96
2026-08-06,240,53,58
2026-08-07,178,73,76
2026-08-08,102,57,67
2026-08-09,123,67,83
2026-08-10,110,63,66
2026-08-11,146,64,70
2026-08-12,94,64,90
2026-08-13,100,51,96
2026-08-14,726,25,60
2026-08-15,835,32,65
2026-08-16,658,40,85
2026-08-17,559,37,58
2026-08-18,334,52,55
2026-08-19,449,48,105
2026-08-20,482,49,82
2026-08-21,534,61,100
2026-08-22,499,44,67
2026-08-23,401,46,58
2026-08-24,746,48,89
2026-08-25,481,48,75
2026-08-26,479,26,92
2026-08-27,197,66,88
2026-08-28,115,51,87
2026-08-29,95,55,59
2026-08-30,227,52,98
2026-08-31,135,62,62
2026-09-01,220,57,92
2026-09-02,227,51,94
2026-09-03,95,63,97
2026-09-04,224,68,88
2026-09-05,155,58,68
2026-09-06,246,72,75
2026-09-07,572,33,80
2026-09-08,517,46,96
2026-09-09,603,39,75
2026-09-10,834,27,55
2026-09-11,484,59,91
2026-09-12,301,42,89
2026-09-13,359,56,71
2026-09-14,317,51,59
2026-09-15,375,51,73
2026-09-16,330,54,89
2026-09-17,810,34,94
2026-09-18,784,41,55
2026-09-19,791,42,74
2026-09-20,244,53,63
2026-09-21,142,53,61
2026-09-22,216,54,72
2026-09-23,147,69,68
2026-09-24,162,56,98
2026-09-25,237,58,87
2026-09-26,200,58,58
2026-09-27,98,70,82
2026-09-28,145,51,55
2026-09-29,160,74,63
2026-09-30,238,58,65
