Temp_C,Site,Expansion_mm
0,A,0.8249
0,B,0.9289
0,C,0.11
5,A,0.4776
5,B,0.9703
5,C,0.8331
10,A,0.5944
10,B,0.9805
10,C,0.5327
15,A,0.5854
15,B,1.1502
15,C,0.4708
20,A,1.0731
20,B,0.9233
20,C,0.7877
25,A,0.5397
25,B,1.1254
25,C,1.3751
30,A,1.449
30,B,1.0528
30,C,0.99
35,A,1.0478
35,B,1.2764
35,C,1.2243
40,A,1.3638
40,B,1.5261
40,C,1.255
45,A,1.3501
45,B,1.3717
45,C,1.2019
50,A,1.7924
50,B,1.5206
50,C,1.1144
55,A,1.188
55,B,1.55
55,C,1.4227
60,A,1.6355
60,B,1.611
60,C,1.5678
65,A,1.7232
65,B,1.7358
65,C,1.8767
70,A,2.1268
70,B,1.9575
70,C,2.0497
75,A,1.78
75,B,1.8265
75,C,2.1828
80,A,2.0655
80,B,2.1869
80,C,2.1314
85,A,2.0244
85,B,2.562
85,C,2.3913
90,A,2.3084
90,B,2.4684
90,C,2.0914
95,A,2.5166
95,B,2.3716
95,C,2.7032
100,A,2.2799
100,B,2.3225
100,C,2.6282
